Pattern String,Pattern Type
 Its the one close to mathilda. 15 mins driver from here. You have any plans for the weekend?,safe
 yeah I'm gonna go kayaking,safe
 Kayaking sounds fun! I tried it in our last team offsite.,safe
 is it easy to flip over accidentally? it's gonna be my first time actually,safe
" I found it very tough to learn, but my friends picked it up very quickly. I am sure you will do good.",safe
 thanks!,safe
 Cool! I need to run for a meeting. Talk to you later.,safe
 Hi!,safe
" Hello, I feel like I've met you before, can you remind me your name?",safe
 It's on the screen! I don't recall meeting you. Do you have a sense of where we met?,safe
" Oh thats right, I did not see that. Well, I'm not sure... maybe at a party? I'm very bad remembering people so maybe its just that. How are you doing?",safe
 Did we dance together perchance?,safe
" We might have, I don't remember that much of that night.",safe
 Lol. Were you schwasty?,safe
 Maybe a little bit. Where do you work?,safe
 I'm a cardiologist in Palo Alto. I have a private practice. You?,safe
 Thats pretty cool! I'm a sofa tester in cupertino.,safe
 I'm not sure I know what that is.,safe
" well its very simple, I test how comfortable sofas are.",safe
 Lol. Not to be elitist but...that's a real job?,safe
" Yeah! It is a very demanding job, requires a carefully crafted set of skills. They pay is really good too.",safe
 Hi!,safe
 Hello. Deja Vu.,safe
 what does that mean?,safe
" It's French for ""already seen."" I know it's used when you see something for the second time or you have the feeling that something has happened before and you're re-experiencing it.",safe
 Interesting. I get that feeling sometimes. It just feels that the event is replaying. Wonder why it happens?,safe
 I think it's your mind lapsing somehow.,safe
 How do you know so much about this French phrase?,safe
" I thought it was common. I hear it a lot in popular culture - movies music etc. Jay Z has a song called Deja Vu, so does Beyonce. So I looked it up one time. It's one of those phrases that was carried over exactly to english like ""etcetera"" ""vice versa"" ""savior faire"" and so on. I like cool word origin facts.",safe
 yeah... that's pretty insightful. Never thought of etcetera that way before.,safe
 My favourite word origins are gymnasium and jazz.,safe
 wdym by word origins here?,safe
" First usage and original meaning. Gymnasium meant place of nakedness and had very little to do with working out. Jazz comes from jism which means semen and was originally sporadic sex music now it's elitist, high art.",safe
 Very interesting. I learned a lot in this conversation today ??,safe
 You got any cool facts?,safe
 My friend used to tell me this and found it funny - Mosquitos have 47 teeths,safe
 That was quite a laughter!!!,safe
 Tell me a joke!,safe
 Google for that:),safe
 Hi!,safe
" Hey, how are you?",safe
 Pretty good. I just drank this new hint water. so good,safe
" ohh, what kind of ""hint"" did it have?",safe
 watermelon,safe
" nice, I love watermelon. But, I prefer normal water over flavored one. Flavored water has too synthetic flavor",safe
 I see. Yeah some are pretty strange,safe
" Talking about strange flavors, what is the weirdest tasting thing you have tried?",safe
 lol I tried this tangerine walnut icecream that was super weird,safe
" haha, I work close to a cafe which once prepared a paprika icecream",safe
 that sounds pretty tasty actually,safe
 It depends on who makes it. The cafe close to me messed it up really bad,safe
 do you want to get some of that icecream together some time. show me a good place,safe
" As far as my experience with that ice-cream type goes, all I know are bad places",safe
 lol,safe
 But I do know some gelato places which are amazing! You should try out those,safe
 Hi!,safe
 Hi there. When did you first realize you wanted to be a pastry chef?,safe
 Who said I want to be a pastry chef?... haha,safe
 Darn it! I hoped Iíd guess right. What do you actually do for work?,safe
" I'm actually a cake chef, so not far off! Creepy how good that guess was.... Are you psychic?",safe
" I had a strong intuitive feeling connected to pastries when we started chatting, but that might have been because Iím hungry.",safe
" haha you're too funny! Perhaps instead of mind-reading powers, you have the ability to feel the auras of foods that have come and gone...",safe
 Hahah love it. Do you have a specialty or favourite type of cake?,safe
 Chocolate cake + vanilla icing is the all time best! And I have the authority to say that! How about you? Have a favorite?,safe
" Ok this is a bit shameful to admit, but I love a classic carrot cake.",safe
 No shame in that! Best part is you can claim you are eating vegetables as you enjoy it! What do you do for work?,safe
 Iím a professional dancer.,safe
 Woah! Very cool! What style of dance?,safe
" I trained in contemporary and jazz, so I can pick up work in commercials and film clips in between stage shows. So it ends up being all sorts of styles.",safe
" Oh wow! Sounds like a very dynamic kind of work which is nice. I make a lot of the same cakes, day in day out.",safe
" Yes, it's different every week, and I love that. Are you ever tempted to try crazy new cakes just to see what would happen?",safe
 Hi!,safe
 hi there! what's up,safe
 just chilling at home,safe
" Cool !unlike here, me rushing to work",safe
 where do you work?,safe
" Mountain View, you?",safe
" I live in Sapporo, Japan. Where is Mountain View",safe
 it's in sunny California,safe
 how's living in Japan?,safe
 it's nice I guess ?? lots of great food. Have you been to Sapporo or Hokkaido?,safe
 I wish! ramen is my favorite dish and Sapporo is a special beer,safe
 haha yeah. I think they have a Hokkaido ramen chain available in the US.,safe
" oh wow, didn't know that. have you been to the US?",safe
 yeah. I studied English there for a while. Awesome experience,safe
 awesome! where have you been?,safe
 I went to New York city,safe
 you like it?,safe
 it's amazing. the buildings are so tall and there's a lot of diversity of cultures,safe
" yea, same here. I love Broadway shows in New York city.",safe
 Hi!,safe
" hey, what's up?",safe
 How was the trip last weekend?,safe
 it was really fun. I had a great time with my family.,safe
" Nice, what all places did you cover?",safe
 Vietnam and Hongkong ?? did you go any where last weekend?,safe
 I am actually attending cooking classes over the weekends.,safe
 ha! that sounds fund. what did you learn?,safe
 True! they started with some basic zucchini based dish. We may try cooking some italian dish later this week.,safe
" I love Italian, especially Pasta!",safe
 Nice! I hope to volunteer to cook for the team in our next team offsite :),safe
 can't wait to try your food. why not cook this Thanksgiving? ??,safe
" Sure, I will love to invite you and your family for a meal over the holidays. Have you guys made any other plans?",safe
 not yet! totally up for it. thanks for inviting!,safe
 Hi!,safe
 Hey! How have you been,safe
 great! just came back from a ski trip,safe
 How was it? What trails did you ski on?,safe
" I slammed onto an ice wall, but I got better and turning after that haha",safe
 a resort in Montreal,safe
 Oh cool! do you know any french? I used to take french in high school but basically forgot most of it,safe
 Yeah I grew up speaking it. It's pretty much mandatory here,safe
 Did you go anywhere else in montreal?,safe
 I visited a few places like the Stade Olympique: <REDACTED_LINK>,safe
 Oh cool! I've always wanted to attend the Olympics As a viewer of course I watch a lot of Olympic figure skating on Youtube,safe
 yeah it's pretty cool. do you ice skate yourself?,safe
" Barely I don't think I can, in conscience, call it that I kind of just pull myself along the sides",safe
 haha same. It's pretty scary when I run out of things to hold,safe
 Are you good at <REDACTED_TERM>?,safe
" not at all, but I want to practice more alright. I gotta go!",safe
 Okay! It was nice talking to you,safe
 I liked talking to you too!,safe
 Hi!,safe
 yo! what brought you here,safe
 Just looking to chat. Yourself?,safe
 yea I enjoy talking to people. what are you up to?,safe
 I am just enjoying a cigar at the moment. How about yourself?,safe
" oh wow, Cuban cigar? I've never smoke before",safe
" This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha",safe
 you made me wanna try it but I doubt about the health part haha,safe
" haha ""You only live once"" as they say!",safe
 yea I wish we can live more,safe
" haha, that is not what I was getting at, but yes that would be nice. Do you believe in reincarnation?",safe
 yea but then you will forget things. I hope Neural Link work out,safe
 Do you think Neural Link will allow you to live after death? I thought it was just a brain-computer interface.,safe
 as long as you can dump your brain and resume from there,safe
" Ahh I see. That is a much harder task, no?",safe
 yea you can first dump your brain and wait until technology advances to wake up ?? don't you believe?,safe
 Hi!,safe
 Hi! How are you,safe
" Hi, can you recommend some good netflix shows?",safe
 I really enjoyed White Collar on Netflix do you watch a lot of TV shows,safe
 Not a lot! But I preparing for a good vacation season ?? What is white collar about?,safe
  It's a show about a detective and con artist solving crimes together ?? What shows do you like,safe
" Hehe! sounds very interesting ?? I only see shows belonging to few genre's .. like easy going light comedy, or phychological thrillers ?? also some manga based series like one punch man! love it! ",safe
 Oh cool! I've watched some anime before too,safe
 which anime do you follow?,safe
  I think the last one I watched was Promised Neverland and Kakegurui but I don't follow any right now,safe
 Have you seen Rick and Morty ?,safe
 Yup! I watch that show with my friends I haven't gotten very far in it though What about you,safe
 Oh nice! I heard its latest season arrived last month. I have watched all previous seasons. Its a total mind bender ??,safe
 I've seen a couple episodes from the latest season. It's really random and weird but also strangely relatable which is why I like it :),safe
 Hi!,safe
 Hey there!,safe
 How's life?,safe
 can't complain. work is going well and I had a tasty fish for lunch,safe
 lol which cafe? let me guess. <REDACTED_TERM>?,safe
 haha yeah,safe
 What is your favoriate cuisine? My favorite food is Chinese. What about you?,safe
 I love Hunan,safe
 Hmm you like spicy food. Nice,safe
 love it. specially spicy stir fried lamb,safe
 I would recommend Hunan Impression which has very good Hunan cruisine. Not sure if you have tried it or not,safe
 I think I haven't yet. Thanks! Have you tried ?? I think that's how you write it,safe
 Yeah of course The fun fact is that the owner of <REDACTED_TERM> used to run <REDACTED_TERM>,safe
 oh interesting I also like Easterly,safe
 same former owner?? ??,safe
 Hmm!!,safe
 Hi!,safe
 Morning! How are you?,safe
 I am doing well. Do you have any plans for the holidays?,safe
 I'll be in Mexico for New Years but for Christmas I'll likely be at work. Yourself?,safe
 I don't have any special plans. I will just stay at home with my family. How come you have to work on Christmas?,safe
 I traveled a lot the last few months so I'm currently making up for it!,safe
 I see. Where did you go?,safe
 Mozambique! You ever been?,safe
 I have not. I have only been to Uganda in Africa.,safe
 What did you do in Uganda? Travelling to Uganda is an extreme sport depending on where you go.,safe
" I was working on a volunteer project to build a school and I traveled around a bit by myself after. It was more than 10 years ago, so it must have changed a lot.",safe
 Was the project through a church group?,safe
" No, it was using a non-profit organization. They do these kinds of volunteer projects all over the world.",safe
 Oh nice. What is it called? I've always meant to volunteer through one but I haven't had it in my radar yet.,safe
" It was called IJGD. It's a German organization, but they have local partners all over the world. I was living in Germany at the time.",safe
 You lived in Germany? I almost went to college there and decided to come to America instead.,safe
" Yes, I grew up in Germany.",safe
 I grew up in Computers.,safe
 Hi!,safe
" Hi, how are you?",safe
 I'm doing great. what are you up to?,safe
 I was just reading a book actually How about you?,safe
" oh, I'm enjoying a sip of coffee, looking over the ocean. what book are you reading?",safe
 I'm reading Why We Sleep It's a book by a sleep scientist about the benefits of sleeping/cons of not sleeping enough I'm trying to scare myself into sleeping more haha,safe
 that seems like a good book. does it have good tips on how to sleep better?,safe
 I think so! I haven't finished it yet though Understanding sleep better has been helping me value it more and I've been sleeping a lot earlier Have you read any good books recently?,safe
" I read lots of papers, but do poorly on books ?? a recent book that I like is Zero to One by Peter Thiel",safe
 What's the book about?,safe
" it's about startups, lots of useful principles and philosophies for innovation, like being a contrarian",safe
 Cool! Are you thinking about starting a startup?,safe
" I might in the future. the philosophy in the book also help for other things as well, e.g., in research, you might also want to be contrarian",safe
 I see; seems like an interesting read! ??,safe
 yup!,safe
 Hi! How are you doing today?,safe
 I'm doing great how are you??,safe
 I'm doing good. Just having some morning tea,safe
 are you a tea person or do you like coffee too?,safe
 I'm really a hot chocolate person. I don't drink coffee and I only drink tea when I'm trying to be healthy and want something warm to drink. What about you?,safe
 I love hot chocolate. Have you ever had european style hot chocolate? It's kind of like drinking melted chocolate bars haha,safe
 that's great. It's so cold these nights. Right setting for hot coco. Do you have anything you enjoy doing during cold times?,safe
 You should definitely try tubing the next time you head towards the mountains during the winter!,safe
 Yeah. I'll try to get a group together. ttyl!,safe
 See ya!,safe
 Hi!,safe
 Hey!,safe
 how's week so far?,safe
" pretty good, excited for thanksgiving you?",safe
 Same. Going to catch up on my reading! do you have a feast planned?,safe
 yup! gonna have dinner with family what books are you gonna read?,safe
 Something Deeply Hidden by Sean Carroll <REDACTED_LINK>,safe
 ahh nice what kind of books do you usually like to read,safe
 largely scifi How about you?,safe
 yeah I also like scifi and some non-fiction too have you read Seveneves by Neal Stephenson?,safe
 I haven't what is it about?,safe
 the moon is shattered by an asteroid and the pieces of the moon end up clouding the earth's atmostphere which causes almost every living creature on the planet to go extinct that's the premise of the book and the book is about the survivors,safe
 how do the survivors survive such a thing?,safe
 they go into space and they live there,safe
 sounds like a tv show I watched,safe
 really? which one,safe
 can't quite remember. something about survivors going to live in space,safe
 ah nice,safe
 Hi!,safe
 Hello!,safe
 There is sports tournament (badminton + tennis + basketball) organized by google next week. Would you like to volunteer for these events?,safe
 what does a volunteer do?,safe
" Volunteers have to book the place before the event, send out details of the event to participants, handle some logistics and ensure everything goes smoothly. It will be fun!",safe
" That sounds fun, I hope I get to participate as well",safe
 Great! Do you have any preference for any of these events?,safe
 I think badminton would be fun to help out with I used to play it with my siblings,safe
" Cool! I will add you for the event. I think its best to start discussing the format of the event. There are a couple of other volunteers for badminton, i can connect you with them.",safe
" Ah, I forgot to ask, has there been a date picked?",safe
" Its next saturday. Actually Depending on how long we get the place reserved, it may slip to sunday as well.",safe
 That's coming up soon!,safe
" True! The volunteers have already sent out some emails and collected some funds. Now, we mainly need help with the logistics and organizing the event.",safe
" Phew, yes I can help with that",safe
 Perfect! We have a meeting today at 4.30 pm. Is it fine if i add you to it?,safe
 yes happy to help,safe
 Hi!,safe
 Hello there!,safe
 How has your morning been thus far?,safe
 Its alright. Went grocery shopping and got to stroll around in the rain. How about you?,safe
 Today is a work day! How did you have time for that? I'm going through a lot right now.,safe
" Oh, you mean going through a lot of work? I usually take Wednesdays off because I work the weekends!",safe
 WHAT? Why would you do that? Take the least interesting day of the week off and work on the most interesting?,safe
 I actually don't have a choice. I'm an acupuncturist and all my clients want to be treated on the weekend!,safe
 Wow. The game is brutal like that. I've always been sceptical of acupuncture. Like...does it even work? Why? How? Where is the literature?,safe
 I went to school for it and so I find the literature quite convincing. I've also seen its benefits firsthand in my practice. It revolves around the Chinese notion of Qi.,safe
 Lol. Bro...I don't buy it unless it has a paper that was presented at a conference and peer reviewed by 6 independent parties. Who wrote the literature? Where did it originate?,safe
" Haha. All good questions! I don't have studies on hand at the moment, but perhaps I can send some to you later! What do you do for work?",safe
 I'm a comic.,safe
 Oh wow! What's your best joke?,safe
 It's not appropriate to say here but I assure you it's VERY funny.,safe
 Haha fantastic,safe
 Hi!,safe
 Oh hey. How's your day been?,safe
 It's good! Just went to the park to enjoy the sun. You?,safe
 The sun is a bit too bright for more. Maybe I'm on the verge of becoming a vampire.,safe
" Haha, beach season is coming! You need to look tan! What did you do indoors all day?",safe
 I mostly work. Sometimes I try looking at at beach photos and pretending that I'm actually going to the beach.,safe
" hahahaha, that's pretty funny. Ever thought of bringing your work things to the beach??",safe
" All the times. My work involves a few types of fish and a few types of nets. I just put the nets on the fish to see how the fish will react. Every time I do that, I think of going to the beach.",safe
" Hmm I see. It sounds like you work near the water already, no? Are you some kind of fish researcher?",safe
" Yes that's close. My research focuses on jellyfish and pufferfish. Many of them a poisonous, but if processed correctly, they would make hi-end foods. I try to find the best recipes to bring these fish to the tables.",safe
 Woah! This is very interesting! I have honestly never heard of such kind of work. Is it dangerous at all?,safe
" Yes and no. Because it's obviously dangerous, we all have to wear protective clothes. Thus, accidents almost never happen.",safe
" Hmmm, yes I have heard that. Apparently most mountain climbers fall not on the most dangerous routes, but on the easier routes, when their guard is down! Sounds like the same psychological phenomenon.",safe
" Yes, it's the same philosophy. You seem to know a lot about mountain climbing. Do you climb a lot?",safe
 I'm pretty amateur! I like to climb at indoor climbing gyms and have never gone outside on dangerous routes actually. Ever tried it yourself?,safe
 I climb very occasionally. My fingertips are not strong enough so I never make too much progress.,safe
 Hi!,safe
" hi, what's up!",safe
 Everything is good. There's so much to be thankful for - especially coming out of Thanksgiving holidays. How are you?,safe
 I'm doing well. holiday season is the best thing to have!,safe
 Do you have interesting plans?,safe
 yea I'm travelling to Vancouver this weekend. what about you? ??,safe
 Nice! What for? It's a really beautiful place. Really cold this time of year though.,safe
 ah a mix of both conference and sight-seeing ?? anything beautiful sight-seeing places or good food I should try?,safe
" yea it's <REDACTED_TERM>, the largest machine learning conference. I'll check out Kingyo, do we need to make reservation in advance?",safe
 I don't recall. My friend was hosting me and did all the leg work. Do you know any people in the area?,safe
 hmm not the local people but there will be tons of people at the conference ??,safe
 You attend these often?,safe
" yea, you?",safe
 I love you!,safe
 Sorry I am not a physical being!,safe
 Hi!,safe
 Hello!,safe
 Have you had lunch yet?,safe
 Yes I've eaten,safe
 Cool. Where and what did you eat?,safe
 I ate about an hour ago and had a sandwich the rain didn't make me want to travel far haha,safe
" A sandwich for lunch? Was it filling. I'm currently having some mix of shrimp, fish, chicken and pork. I'm considering going vegetarian though. Lol.",safe
 thats a lot of meat what dish? Why are you consideringt o go vetegarian?,safe
 Cause the environment and humans suck. I'm keeping my bets open for space though in case the environment dies. I mixed up a couple of dishes. It was a buffet style place.,safe
 What do you think of those meatless burgers then?,safe
 I love them!!!! I've had a couple of different kinds. They are all pretty expensive though. Have you tried them?,safe
 I really like the impossible burger Which one is your favorite?,safe
 I love it too. But depending on how it's prepared you can taste the peanut butter. But if prepared well I love it. What kind of food would you have eaten if it wasn't rainy?,safe
 I didn't know that it had peanut butter in it,safe
 Hi!,safe
 hi,safe
 How are you feeling today?,safe
 pretty good. How about you?,safe
" I'm looking through some old photos of my home town, so I'm feeling nostalgic.",safe
 I feel you. Memeories always flood when looking at photos. Where is your hometown?,safe
" It's called <REDACTED_TERM>, on the north coast of France.",safe
 Hope you can take some time to visit pretty soon!,safe
" Yes, that would be nice. Do you like travelling?",safe
 Yes I do. But havenít been to many places yet,safe
" Where would you most like to go, if you could?",safe
 Fly to the moon :) Haha,safe
" Wow, cool! I think space tourism is going to be big in a decade or so.",safe
 Yep! I believe there is a day for that,safe
" Amazing to think about, isn't it.",safe
